id_request,created_date,request_state,price_eur,signed_date,,id_audit,audit_type,audit_confirmation_date,customer_name,id_organization,payment_term_days,report_published_date,audit_selected_date,authorization_requested_date,supplier_name,supplier_country,audited_product
27,2024-01-10,CONTRACT_SIGNED,6232,2024-01-10,1,123,EXISTING_AUDIT,,Customer 57,403,15,,2021-06-21,2024-01-10,Supplier 32,IN,Menthol
124,2022-03-17,REPORT_AVAILABLE,2633,2022-04-27,1,124,EXISTING_AUDIT,2022-04-27,Customer 40,413,15,2022-05-19,2020-09-18,2022-04-27,Supplier 28,CH,Metformin HCl
158,2022-05-30,REPORT_AVAILABLE,3330,2022-06-02,1,126,EXISTING_AUDIT,,Customer 48,414,15,2022-06-14,2021-05-27,2022-06-02,Supplier 21,DE,Ursodiol
10,2023-02-02,REPORT_AVAILABLE,5306,2023-02-08,1,127,EXISTING_AUDIT,,Customer 22,415,90,2023-02-09,2021-08-18,2023-02-08,Supplier 25,DE,Sodium chloride
183,2022-02-10,REPORT_AVAILABLE,6349,2022-02-14,1,130,EXISTING_AUDIT,2022-02-14,Customer 48,416,30,2022-06-20,2022-02-25,2022-05-16,Supplier 11,FR,Erythromycin base
28,2024-01-10,CONTRACT_SIGNED,1757,2024-01-10,1,132,EXISTING_AUDIT,,Customer 7,412,45,,2022-12-13,2024-01-10,Supplier 24,IN,PVC foil
159,2022-04-13,REPORT_AVAILABLE,8839,2022-04-20,1,133,EXISTING_AUDIT,2022-04-20,Customer 44,417,15,2022-04-29,2021-08-13,2022-04-20,Supplier 33,TN,Tetracain HCl
168,2021-09-22,REPORT_AVAILABLE,3037,2021-09-22,1,134,EXISTING_AUDIT,2021-09-22,Customer 30,418,15,2021-09-28,2019-10-18,2021-09-23,Supplier 19,PT,Metformin HCl
102,2020-02-26,REPORT_AVAILABLE,3727,2020-03-17,1,135,EXISTING_AUDIT,2020-03-17,Customer 3,419,90,2020-03-18,2019-04-09,2020-03-17,Supplier 14,ES,Metformin HCl
81,2023-08-22,REPORT_AVAILABLE,5746,2023-08-24,1,137,EXISTING_AUDIT,,Customer 11,420,60,2023-09-19,2023-04-17,2023-08-24,Supplier 11,FR,Lecitina
38,2022-09-27,REPORT_AVAILABLE,3747,2022-10-06,1,138,EXISTING_AUDIT,,Customer 40,421,30,2022-10-17,2022-02-14,2022-10-06,Supplier 18,DE,"Ascorbic acid, Sodium ascorbate"
55,2023-05-16,REPORT_AVAILABLE,3738,2023-05-16,1,140,EXISTING_AUDIT,,Customer 35,422,15,2023-05-22,2021-10-01,2023-05-16,Supplier 21,DE,(Bottle) Caps
113,2022-08-23,REPORT_AVAILABLE,2503,2022-08-23,1,141,EXISTING_AUDIT,,Customer 22,423,15,2022-09-01,2021-11-25,2022-08-24,Supplier 27,CN,Ursodiol
182,2021-08-30,REPORT_AVAILABLE,1048,2021-09-02,1,143,EXISTING_AUDIT,2021-09-02,Customer 1,401,15,2021-11-08,2021-05-21,2021-09-07,Supplier 27,CN,Ciprofloxacin
141,2022-06-02,REPORT_AVAILABLE,4164,2022-06-02,1,144,EXISTING_AUDIT,,Customer 19,424,15,2022-06-23,2021-08-18,2022-06-02,Supplier 30,NL,Ticlopidine Hcl
58,2023-01-23,REPORT_AVAILABLE,146,2023-01-26,1,148,EXISTING_AUDIT,,Customer 36,425,15,2023-02-09,2022-02-04,2023-01-26,Supplier 30,NL,Sodium chloride
98,2022-02-22,REPORT_AVAILABLE,980,2022-03-30,1,150,EXISTING_AUDIT,2022-03-30,Customer 40,426,60,2022-08-11,2022-03-15,2022-07-28,Supplier 33,TN,Diosmin
108,2023-02-06,REPORT_AVAILABLE,6984,2023-02-07,1,151,EXISTING_AUDIT,,Customer 52,427,15,2023-02-08,2022-04-22,2023-02-07,Supplier 9,DE,Ciprofloxacin
130,2023-01-03,REPORT_AVAILABLE,839,2023-01-04,1,152,EXISTING_AUDIT,,Customer 53,428,15,2023-05-08,2022-03-18,2023-01-04,Supplier 35,CN,Clindamycin HCl
151,2019-09-06,REPORT_AVAILABLE,5918,2019-09-11,1,157,EXISTING_AUDIT,2019-09-11,Customer 33,429,30,2019-09-26,2019-04-29,2019-09-12,Supplier 23,DK,Sodium chloride
110,2021-12-27,REPORT_AVAILABLE,2085,2021-12-27,1,158,EXISTING_AUDIT,,Customer 52,430,15,2022-03-30,2019-10-21,2021-12-28,Supplier 20,CN,Fexofenadine hydrochloride
184,2020-11-27,REPORT_AVAILABLE,7254,2020-11-30,1,164,EXISTING_AUDIT,2020-11-30,Customer 26,431,30,2020-12-10,2020-06-23,2020-11-30,Supplier 19,PT,Fexofenadine hydrochloride
90,2021-10-14,REPORT_AVAILABLE,2314,2021-10-15,1,171,EXISTING_AUDIT,2021-10-15,Customer 28,432,15,2021-10-26,2021-02-05,2021-10-19,Supplier 21,DE,Sodium chloride
56,2023-05-03,REPORT_AVAILABLE,5318,2023-05-04,1,172,EXISTING_AUDIT,,Customer 6,433,15,2023-06-22,2022-01-24,2023-05-18,Supplier 35,CN,Ciprofloxacin
89,2021-01-28,REPORT_AVAILABLE,3720,2021-01-29,1,173,EXISTING_AUDIT,2021-01-29,Customer 49,434,15,2021-03-02,2019-07-30,2021-01-29,Supplier 18,DE,Ciprofloxacin
93,2020-05-19,REPORT_AVAILABLE,2236,2020-07-08,1,177,EXISTING_AUDIT,2020-07-08,Customer 56,435,15,2020-07-13,2020-03-25,2020-07-09,Supplier 35,CN,Captopril
100,2022-04-27,REPORT_AVAILABLE,2523,2022-05-09,1,178,EXISTING_AUDIT,2022-05-09,Customer 53,436,15,2022-05-26,2021-11-18,2022-05-09,Supplier 26,TW,Cetirizine
147,2022-07-28,REPORT_AVAILABLE,3563,2022-08-25,1,179,EXISTING_AUDIT,,Customer 41,437,15,2022-09-07,2021-04-28,2022-08-26,Supplier 31,CZ,(Bottle) Caps
37,2021-07-11,REPORT_AVAILABLE,2410,2021-08-18,1,180,EXISTING_AUDIT,2021-08-18,Customer 60,438,15,2021-11-18,2021-02-15,2021-08-26,Supplier 26,TW,Erythromycin base
96,2021-10-29,REPORT_AVAILABLE,8622,2021-12-21,1,183,EXISTING_AUDIT,2021-12-21,Customer 21,439,45,2022-01-21,2021-02-17,2021-12-28,Supplier 24,IN,Iopamidol (API)
107,2022-07-14,REPORT_AVAILABLE,212,2022-07-22,1,184,EXISTING_AUDIT,,Customer 59,440,15,2022-07-25,2020-03-30,2022-07-22,Supplier 19,PT,"Ascorbic acid, Sodium ascorbate"
20,2022-12-09,REPORT_AVAILABLE,2569,2022-12-16,1,188,EXISTING_AUDIT,,Customer 42,441,15,2022-12-20,2022-02-09,2022-12-19,Supplier 26,TW,Menthol
101,2023-01-30,REPORT_AVAILABLE,6915,2023-02-01,1,189,EXISTING_AUDIT,,Customer 27,442,15,2023-02-21,2021-04-28,2023-02-02,Supplier 30,NL,Sodium hydrogen carbonate
195,2023-03-03,REPORT_AVAILABLE,8228,2023-04-17,1,189,EXISTING_AUDIT,,Customer 31,443,15,2023-05-19,2021-04-28,2023-04-17,Supplier 30,NL,Sodium chloride
179,2022-12-01,REPORT_AVAILABLE,709,2022-12-02,1,190,EXISTING_AUDIT,,Customer 51,444,15,2022-12-12,2019-12-13,2022-12-02,Supplier 15,TW,Glycine
129,2022-02-08,REPORT_AVAILABLE,8489,2022-03-31,1,192,EXISTING_AUDIT,2022-03-31,Customer 42,445,15,2022-04-11,2021-04-08,2022-03-31,Supplier 11,FR,Vitamin B12
2,2024-01-10,CONTRACT_SIGNED,8029,2024-01-10,1,194,EXISTING_AUDIT,,Customer 57,403,15,,2021-04-20,2024-01-10,Supplier 28,CH,Erythromycin base
26,2024-01-10,CONTRACT_SIGNED,6115,2024-01-10,1,195,EXISTING_AUDIT,,Customer 57,403,15,,2021-03-10,2024-01-10,Supplier 34,CN,Fexofenadine hydrochloride
67,2023-01-19,REPORT_AVAILABLE,798,2023-01-19,1,197,EXISTING_AUDIT,,Customer 35,446,15,2023-09-06,2021-11-05,2023-01-19,Supplier 30,NL,Diosmin
146,2023-10-18,REPORT_AVAILABLE,2371,2023-10-18,1,199,EXISTING_AUDIT,,Customer 52,447,15,2023-10-20,2022-02-02,2023-10-18,Supplier 18,DE,Bisoprolol fumarate
97,2021-05-12,REPORT_AVAILABLE,545,2021-06-02,1,200,EXISTING_AUDIT,2021-06-02,Customer 60,448,15,2021-06-23,2020-11-27,2021-06-02,Supplier 18,DE,Fexofenadine hydrochloride
78,2023-08-15,REPORT_AVAILABLE,2118,2023-08-15,1,202,EXISTING_AUDIT,,Customer 13,449,15,2023-08-23,2022-07-07,2023-08-16,Supplier 5,GB,Mupirocin calcium
5,2022-10-17,REPORT_AVAILABLE,189,2022-12-08,1,203,EXISTING_AUDIT,,Customer 38,450,30,2022-12-30,2021-03-22,2022-12-09,Supplier 35,CN,Captopril
149,2021-05-27,REPORT_AVAILABLE,3020,2021-06-15,1,206,EXISTING_AUDIT,2021-06-15,Customer 59,451,60,2021-07-26,2020-12-02,2021-06-16,Supplier 12,IN,Clindamycin HCl
192,2022-07-03,REPORT_AVAILABLE,3952,2022-07-04,1,208,EXISTING_AUDIT,,Customer 49,452,45,2022-07-08,2020-08-17,2022-07-04,Supplier 21,DE,PVC foil
47,2023-01-11,REPORT_AVAILABLE,4647,2023-01-11,1,209,EXISTING_AUDIT,,Customer 45,453,15,2023-01-12,2021-11-25,2023-01-11,Supplier 10,DE,Iopamidol (API)
137,2023-03-21,REPORT_AVAILABLE,3852,2023-03-21,1,211,EXISTING_AUDIT,,Customer 12,420,60,2023-03-24,2022-05-17,2023-03-23,Supplier 31,CZ,(Bottle) Caps
138,2021-11-15,REPORT_AVAILABLE,6436,2021-11-15,1,212,EXISTING_AUDIT,2021-11-15,Customer 40,454,15,2021-11-17,2021-04-12,2021-11-16,Supplier 24,IN,Mupirocin calcium
99,2022-12-22,REPORT_AVAILABLE,6477,2023-02-08,1,213,EXISTING_AUDIT,,Customer 55,455,15,2023-02-09,2022-04-06,2023-02-09,Supplier 27,CN,"Ascorbic acid, Sodium ascorbate"
196,2023-07-31,REPORT_AVAILABLE,5039,2023-07-31,1,214,EXISTING_AUDIT,,Customer 19,424,15,2023-08-03,2021-04-29,2023-08-03,Supplier 32,IN,Mupirocin calcium
114,2023-07-17,REPORT_AVAILABLE,5919,2023-10-20,1,215,EXISTING_AUDIT,,Customer 46,456,15,2023-11-08,2023-01-02,2023-10-23,Supplier 27,CN,d-Camphor
73,2023-02-24,REPORT_AVAILABLE,1506,2023-03-07,1,217,EXISTING_AUDIT,,Customer 37,457,15,2023-06-16,2022-06-10,2023-03-07,Supplier 27,CN,(Bottle) Caps
153,2020-06-22,REPORT_AVAILABLE,8744,2020-08-24,1,218,EXISTING_AUDIT,2020-08-24,Customer 46,458,15,2020-09-01,2020-03-25,2020-08-24,Supplier 35,CN,Iopamidol (API)
140,2022-12-07,CONTRACT_SIGNED,6660,2023-08-21,1,219,EXISTING_AUDIT,,Customer 40,459,15,,2022-02-10,2023-08-22,Supplier 13,AT,Mupirocin calcium
181,2023-02-17,REPORT_AVAILABLE,877,2023-02-17,1,222,EXISTING_AUDIT,,Customer 5,460,15,2023-03-02,2021-06-02,2023-02-17,Supplier 9,DE,Bisoprolol fumarate
169,2023-07-21,REPORT_AVAILABLE,7204,2023-07-28,1,224,EXISTING_AUDIT,,Customer 31,443,15,2023-09-14,2022-06-28,2023-07-31,Supplier 14,ES,Acebutolol hydrochloride
33,2023-08-16,REPORT_AVAILABLE,6325,2023-09-04,1,225,EXISTING_AUDIT,,Customer 41,461,15,2023-09-06,2021-10-04,2023-09-04,Supplier 13,AT,Ursodiol
72,2022-07-19,REPORT_AVAILABLE,2748,2022-09-12,1,228,EXISTING_AUDIT,,Customer 54,462,15,2022-09-16,2021-08-25,2022-09-13,Supplier 19,PT,Cetirizine
121,2023-04-06,REPORT_AVAILABLE,3300,2023-05-22,1,229,EXISTING_AUDIT,,Customer 36,463,15,2023-06-16,2021-01-12,2023-05-22,Supplier 12,IN,Asprin (Granular)
60,2023-02-22,REPORT_AVAILABLE,2363,2023-04-17,1,230,EXISTING_AUDIT,,Customer 43,464,15,2023-04-20,2022-11-10,2023-04-17,Supplier 20,CN,Diosmin
131,2022-03-17,REPORT_AVAILABLE,3247,2022-03-21,1,231,EXISTING_AUDIT,2022-03-21,Customer 9,465,15,2022-03-25,2019-12-05,2022-03-22,Supplier 21,DE,PVC foil
74,2022-07-26,REPORT_AVAILABLE,1979,2022-08-29,1,232,EXISTING_AUDIT,,Customer 59,466,15,2022-09-22,2021-08-02,2022-08-30,Supplier 18,DE,Asprin (Granular)
43,2023-06-12,REPORT_AVAILABLE,1030,2023-09-07,1,237,EXISTING_AUDIT,,Customer 52,467,15,2023-09-15,2023-01-04,2023-09-07,Supplier 21,DE,PVC foil
170,2022-12-01,REPORT_AVAILABLE,490,2022-12-06,1,240,EXISTING_AUDIT,,Customer 32,468,15,2022-12-23,2022-02-21,2022-12-07,Supplier 24,IN,Tetracain HCl
167,2022-03-21,REPORT_AVAILABLE,8249,2022-04-01,1,242,EXISTING_AUDIT,2022-04-01,Customer 38,469,60,2022-05-05,2020-02-14,2022-04-05,Supplier 33,TN,Amlodipine Besylate
199,2020-07-23,REPORT_AVAILABLE,7949,2020-08-26,1,243,EXISTING_AUDIT,2020-08-26,Customer 41,470,15,2020-09-21,2020-06-02,2020-08-26,Supplier 21,DE,Metformin HCl
36,2021-12-16,REPORT_AVAILABLE,2562,2022-02-08,1,244,EXISTING_AUDIT,2022-02-08,Customer 60,471,15,2022-02-10,2020-12-28,2022-02-09,Supplier 19,PT,Paracetamol
133,2021-08-25,REPORT_AVAILABLE,167,2021-09-13,1,245,EXISTING_AUDIT,2021-09-13,Customer 59,472,15,2022-01-13,2021-04-08,2021-09-15,Supplier 11,FR,Cetirizine
116,2023-05-29,REPORT_AVAILABLE,2656,2023-05-29,1,246,EXISTING_AUDIT,,Customer 41,437,15,2023-11-13,2022-05-03,2023-10-27,Supplier 22,CN,Erythromycin base
82,2023-03-31,REPORT_AVAILABLE,5832,2023-04-12,1,247,EXISTING_AUDIT,,Customer 41,473,15,2023-04-20,2021-09-22,2023-04-12,Supplier 20,CN,Erythromycin base
70,2021-03-15,REPORT_AVAILABLE,5644,2021-04-26,1,248,EXISTING_AUDIT,2021-04-26,Customer 28,474,15,2021-05-12,2020-12-02,2021-04-26,Supplier 6,IN,Iopamidol (API)
69,2023-03-14,REPORT_AVAILABLE,3746,2023-10-05,1,249,EXISTING_AUDIT,,Customer 52,475,15,2023-10-31,2023-01-17,2023-10-05,Supplier 10,DE,"Ascorbic acid, Sodium ascorbate"
88,2023-02-21,REPORT_AVAILABLE,3759,2023-03-01,1,250,EXISTING_AUDIT,,Customer 42,476,15,2023-03-15,2022-10-03,2023-03-01,Supplier 23,DK,Metformin HCl
42,2023-06-15,REPORT_AVAILABLE,2739,2023-06-20,1,251,EXISTING_AUDIT,,Customer 7,477,45,2023-06-28,2022-07-06,2023-06-20,Supplier 12,IN,Bisoprolol fumarate
25,2024-01-10,CONTRACT_SIGNED,1331,2024-01-10,1,253,EXISTING_AUDIT,,Customer 57,403,15,,2020-09-18,,Supplier 17,IN,Mupirocin calcium
12,2023-01-25,REPORT_AVAILABLE,6045,2023-02-10,1,255,EXISTING_AUDIT,,Customer 39,478,15,2023-02-20,2020-11-24,2023-02-10,Supplier 7,CN,Paracetamol
71,2021-05-14,REPORT_AVAILABLE,3173,2021-06-02,1,255,EXISTING_AUDIT,2021-06-02,Customer 59,448,15,2021-08-06,2020-11-24,2021-06-02,Supplier 7,CN,Paracetamol
174,2021-12-16,REPORT_AVAILABLE,7939,2022-10-25,1,255,EXISTING_AUDIT,,Customer 46,479,15,2022-11-08,2020-11-24,2022-10-25,Supplier 7,CN,Paracetamol
166,2021-10-11,REPORT_AVAILABLE,1028,2021-10-12,1,257,EXISTING_AUDIT,2021-10-12,Customer 16,480,15,2021-10-26,2021-03-17,2021-10-13,Supplier 12,IN,Amlodipine Besylate
32,2023-03-10,REPORT_AVAILABLE,3676,2023-03-10,1,259,EXISTING_AUDIT,,Customer 24,481,15,2023-03-28,2022-04-04,2023-03-10,Supplier 23,DK,d-Camphor
118,2022-08-08,REPORT_AVAILABLE,4192,2022-08-08,1,260,EXISTING_AUDIT,,Customer 55,482,60,2022-08-08,2021-11-12,2022-08-08,Supplier 19,PT,Zinc oxide
156,2023-07-24,REPORT_AVAILABLE,5434,2023-09-13,1,261,EXISTING_AUDIT,,Customer 18,483,15,2023-10-10,2023-07-07,2023-09-13,Supplier 33,TN,Diosmin
61,2022-07-20,REPORT_AVAILABLE,7499,2022-07-26,1,262,EXISTING_AUDIT,,Customer 23,484,45,2022-09-20,2019-10-09,2022-07-29,Supplier 17,IN,Captopril
152,2023-04-03,REPORT_AVAILABLE,1705,2023-04-11,1,263,EXISTING_AUDIT,,Customer 1,401,15,2023-04-25,2022-06-03,2023-04-11,Supplier 35,CN,Metformin HCl
164,2023-03-03,REPORT_AVAILABLE,6924,2023-04-17,1,263,EXISTING_AUDIT,,Customer 31,443,15,2023-10-27,2022-06-03,2023-04-17,Supplier 35,CN,Ticlopidine Hcl
19,2023-08-04,REPORT_AVAILABLE,1743,2023-08-04,1,264,EXISTING_AUDIT,,Customer 47,485,15,2023-08-09,2022-07-25,2023-08-04,Supplier 18,DE,Ciprofloxacin
186,2022-04-13,REPORT_AVAILABLE,5333,2022-04-14,1,266,EXISTING_AUDIT,2022-04-14,Customer 12,420,60,2022-04-29,2021-08-30,2022-04-14,Supplier 29,IN,Erythromycin base
18,2023-05-24,REPORT_AVAILABLE,4669,2023-05-24,1,268,EXISTING_AUDIT,,Customer 48,486,15,2023-07-19,2021-11-22,2023-05-24,Supplier 25,DE,Ursodiol
84,2023-10-06,REPORT_AVAILABLE,4521,2023-10-06,1,272,EXISTING_AUDIT,,Customer 50,487,15,2023-10-16,2022-08-24,2023-10-06,Supplier 8,IN,Erythromycin base
8,2023-10-18,CONTRACT_SIGNED,1816,2023-10-18,1,276,EXISTING_AUDIT,,Customer 44,488,30,,2023-06-09,2023-10-19,Supplier 25,DE,Ibuprofen
135,2021-11-23,REPORT_AVAILABLE,3580,2021-11-23,1,105,NEW_AUDIT,2021-04-16,Customer 23,484,45,2022-08-10,2021-04-16,,Supplier 4,IN,Erythromycin base
63,2021-12-01,REPORT_AVAILABLE,1904,2021-12-01,1,109,NEW_AUDIT,2022-03-10,Customer 7,489,45,2022-07-14,2022-03-10,,Supplier 18,DE,Fexofenadine hydrochloride
117,2022-05-17,REPORT_AVAILABLE,1939,2022-05-23,1,120,NEW_AUDIT,,Customer 58,490,30,2022-08-02,2022-06-08,,Supplier 6,CN,Menthol
91,2023-03-13,CONTACT_DETAILS_AVAILABLE,3919,2023-07-26,1,121,NEW_AUDIT,,Customer 51,491,15,,,,Supplier 18,DE,Sodium hydrogen carbonate
40,2021-02-26,REPORT_AVAILABLE,6239,2021-10-29,1,128,NEW_AUDIT,2020-03-16,Customer 51,492,30,2022-01-24,2020-03-16,,Supplier 22,CN,Aluminium tubes
112,2020-10-05,REPORT_AVAILABLE,4775,2020-10-07,1,129,NEW_AUDIT,2019-09-18,Customer 53,493,15,2021-05-07,2019-09-18,,Supplier 16,IN,Iopamidol (API)
4,2024-01-05,CONTRACT_SIGNED,4652,2024-01-05,1,136,NEW_AUDIT,,Customer 30,494,15,,,,Supplier 32,IN,Asprin (Granular)
144,2020-05-19,REPORT_AVAILABLE,1629,2021-01-28,1,142,NEW_AUDIT,2021-12-20,Customer 56,435,15,2022-04-26,2021-12-20,,Supplier 10,DE,Ciprofloxacin
34,2020-09-01,REPORT_AVAILABLE,5178,2020-09-01,1,145,NEW_AUDIT,2020-09-30,Customer 27,495,15,2021-01-26,2020-09-30,,Supplier 34,CN,Erythromycin base
142,2021-05-20,REPORT_AVAILABLE,537,2021-08-02,1,146,NEW_AUDIT,2022-03-17,Customer 28,496,15,2022-07-22,2022-03-17,,Supplier 18,DE,Lecitina
54,2023-02-01,AUDIT_DATE_AVAILABLE,3796,2023-06-01,1,153,NEW_AUDIT,,Customer 36,497,15,,2023-07-26,,Supplier 16,IN,Vitamin B12
17,2021-05-21,REPORT_AVAILABLE,2059,2021-06-04,1,159,NEW_AUDIT,2021-10-01,Customer 28,498,60,2022-01-10,2021-10-01,,Supplier 20,CN,Aluminium tubes
172,2023-02-10,REPORT_AVAILABLE,3788,2023-02-17,1,163,NEW_AUDIT,,Customer 30,499,30,2023-07-27,2023-03-10,,Supplier 17,IN,Cetirizine
200,2022-03-24,CONTRACT_SIGNED,996,2022-06-14,1,168,NEW_AUDIT,,Customer 58,490,30,,,,Supplier 11,FR,Sodium hydrogen carbonate
3,2024-01-05,CONTACT_DETAILS_AVAILABLE,7572,2024-01-05,1,170,NEW_AUDIT,,Customer 38,500,15,,,,Supplier 25,DE,Ibuprofen
53,2022-02-01,REPORT_AVAILABLE,1731,2022-02-01,1,182,NEW_AUDIT,2022-03-09,Customer 8,501,60,2022-08-02,2022-03-09,,Supplier 21,DE,Fexofenadine hydrochloride
180,2020-10-02,REPORT_AVAILABLE,7556,2020-10-06,1,188,NEW_AUDIT,2022-02-09,Customer 53,502,15,2022-11-21,2022-02-09,,Supplier 26,TW,Menthol
127,2023-01-19,CONTRACT_SIGNED,5712,2023-01-19,1,191,NEW_AUDIT,,Customer 9,503,15,,,,Supplier 32,IN,Fexofenadine hydrochloride
154,2023-10-19,AUDIT_PREPARATION,3952,2023-10-19,1,198,NEW_AUDIT,,Customer 58,504,90,,2023-10-26,,Supplier 23,DK,(Bottle) Caps
188,2022-04-12,REPORT_AVAILABLE,2965,2022-04-12,1,205,NEW_AUDIT,2022-04-25,Customer 24,505,15,2022-06-28,2022-04-25,,Supplier 30,NL,Glycine
11,2019-12-05,REPORT_AVAILABLE,99,2020-02-06,1,208,NEW_AUDIT,2020-08-17,Customer 6,433,15,2021-04-06,2020-08-17,,Supplier 21,DE,PVC foil
197,2020-08-06,REPORT_AVAILABLE,5121,2021-02-26,1,210,NEW_AUDIT,2021-03-03,Customer 8,501,60,2021-05-12,2021-03-03,,Supplier 33,TN,Tetracain HCl
105,2020-11-05,REPORT_AVAILABLE,4552,2020-11-26,1,216,NEW_AUDIT,2020-12-15,Customer 53,506,15,2021-06-01,2020-12-15,,Supplier 19,PT,PVC foil
66,2020-09-15,REPORT_AVAILABLE,8939,2020-09-17,1,220,NEW_AUDIT,2020-10-07,Customer 60,507,15,2020-12-18,2020-10-07,,Supplier 22,CN,Tetracain HCl
187,2023-07-04,AUDIT_DATE_AVAILABLE,7746,2023-07-04,1,223,NEW_AUDIT,,Customer 2,508,15,,2023-09-13,,Supplier 35,CN,Captopril
198,2022-01-25,REPORT_AVAILABLE,7967,2022-01-25,1,234,NEW_AUDIT,2022-02-10,Customer 43,509,15,2022-05-17,2022-02-10,,Supplier 22,CN,PVC foil
115,2021-02-18,REPORT_AVAILABLE,7013,2021-02-22,1,235,NEW_AUDIT,2021-05-27,Customer 33,510,15,2021-10-21,2021-05-27,,Supplier 13,AT,PVC foil
125,2021-04-22,REPORT_AVAILABLE,8965,2021-04-22,1,236,NEW_AUDIT,2021-08-31,Customer 52,511,60,2022-04-01,2021-08-31,,Supplier 25,DE,Sodium chloride
85,2022-01-20,REPORT_AVAILABLE,6256,2022-01-20,1,238,NEW_AUDIT,2022-02-10,Customer 60,438,15,2022-05-27,2022-02-10,,Supplier 5,DE,Lecitina
95,2021-08-19,REPORT_AVAILABLE,7653,2021-08-19,1,241,NEW_AUDIT,2021-11-19,Customer 41,512,15,2022-05-18,2021-11-19,,Supplier 6,IN,Acebutolol hydrochloride
65,2020-07-15,REPORT_AVAILABLE,1552,2020-08-04,1,252,NEW_AUDIT,2021-09-09,Customer 11,420,60,2022-05-30,2021-09-09,,Supplier 31,CZ,Erythromycin base
191,2023-04-21,AUDIT_PREPARATION,3072,2023-04-21,1,258,NEW_AUDIT,,Customer 33,510,15,,2023-06-13,,Supplier 17,IN,Paracetamol
155,2021-01-13,REPORT_AVAILABLE,1369,2021-01-22,1,270,NEW_AUDIT,2021-02-05,Customer 44,488,30,2021-08-31,2021-02-05,,Supplier 18,DE,Ciprofloxacin
62,2021-02-11,REPORT_AVAILABLE,6126,2021-02-23,1,273,NEW_AUDIT,2021-03-18,Customer 43,509,15,2021-10-07,2021-03-18,,Supplier 20,CN,Fexofenadine hydrochloride
50,2021-02-04,REPORT_AVAILABLE,8511,2021-02-04,1,274,NEW_AUDIT,2021-03-03,Customer 50,487,30,2021-12-15,2021-03-03,,Supplier 8,IN,Sodium hydrogen carbonate
134,2021-03-26,REPORT_AVAILABLE,7784,2021-03-26,1,279,NEW_AUDIT,2021-04-16,Customer 52,511,60,2021-11-18,2021-04-16,,Supplier 22,CN,Sodium hydrogen carbonate
77,2020-09-09,REPORT_AVAILABLE,7040,2020-11-25,1,280,NEW_AUDIT,2021-01-13,Customer 17,513,15,2021-04-30,2021-01-13,,Supplier 24,IN,Ticlopidine Hcl
119,2022-10-28,REPORT_AVAILABLE,7864,2022-11-04,1,100,EXISTING_AUDIT,,Customer 45,514,60,2023-01-05,2022-09-05,,Supplier 13,AT,Aluminium tubes
